Episodes,Emition_Date,Users,Rank,Title,Score
TV (13 eps),Oct 2003 - Dec 2003,"38,698",1897,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7.08
TV (12 eps),Apr 2018 - Jun 2018,"31,105",1898,Lostorage Conflated WIXOSS,7.08
TV (24 eps),Oct 1998 - Mar 1999,"46,096",1899,Majutsushi Orphen,7.08
TV (52 eps),Jul 1999 - Jun 2000,"58,869",1900,Medarot,7.08
TV (12 eps),Jul 2020 - Sep 2020,"79,722",1901,No Guns Life 2nd Season,7.08
TV (12 eps),Jan 2024 -,"73,109",1902,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita 2nd",7.08
TV (39 eps),Apr 1991 - Mar 1992,"5,984",1903,Anime Himitsu no Hanazono,7.08
TV (26 eps),Jan 2012 - Jun 2012,"105,940",1904,Aquarion Evol,7.08
TV (26 eps),Oct 1998 - Apr 1999,"39,082",1905,Bubblegum Crisis Tokyo 2040,7.08
TV (65 eps),Jan 2007 - Mar 2008,"29,259",1906,Deltora Quest,7.08
TV (56 eps),Sep 1974 - Sep 1975,"5,936",1907,Great Mazinger,7.08
TV (24 eps),Oct 2021 - Mar 2022,"42,815",1908,Hanyou no Yashahime: Sengoku Otogizoushi - Ni no Shou,7.08
TV (25 eps),Apr 2000 - Sep 2000,"4,377",1909,Hidamari no Ki,7.08
TV (52 eps),Apr 2013 - Mar 2014,"3,869",1910,Jewelpet Happiness,7.08
TV (12 eps),Jan 2020 - Mar 2020,"15,628",1911,Show By Rock!! Mashumairesh!!,7.08
TV (9 eps),Jan 2009 - Mar 2009,"40,581",1912,Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,7.08
TV (26 eps),Apr 2005 - Sep 2005,"76,800",1913,Sousei no Aquarion,7.08
TV (26 eps),Oct 1981 - Nov 1982,"5,948",1914,Uchuu Densetsu Ulysses 31,7.08
TV (39 eps),Apr 1988 - Mar 1989,"18,731",1915,Yoroiden Samurai Troopers,7.08
TV (10 eps),Jan 2017 - Mar 2017,"89,841",1916,Super Lovers 2,7.07
TV (13 eps),Jul 2020 - Sep 2020,"896,277",1917,The God of High School,7.07
